        Tracepoints 
                      Tracepoint Locations 
Frame CG          x =      2.800   y =      1.850 
Tire Center       x =      0.600   y =      0.500 

                        Joint a               Joint b              Frame CG            Tire Center      
Input (deg)          ax        ay          bx         by        X          Y          X          Y     
 4.930,             3.640,      1.375,      2.912,     -1.024,      3.538,      0.367,      1.899,     -1.627
 4.792,             3.641,      1.366,      2.928,     -1.037,      3.544,      0.358,      1.918,     -1.646
 4.654,             3.642,      1.357,      2.943,     -1.050,      3.551,      0.349,      1.937,     -1.665
 4.515,             3.643,      1.349,      2.958,     -1.063,      3.558,      0.339,      1.956,     -1.684
 4.377,             3.643,      1.340,      2.974,     -1.076,      3.565,      0.330,      1.975,     -1.703
 4.238,             3.644,      1.331,      2.990,     -1.089,      3.572,      0.321,      1.995,     -1.722
 4.100,             3.645,      1.323,      3.005,     -1.101,      3.579,      0.312,      2.015,     -1.741
 3.962,             3.645,      1.314,      3.021,     -1.114,      3.586,      0.303,      2.034,     -1.760
 3.823,             3.646,      1.305,      3.037,     -1.127,      3.593,      0.294,      2.054,     -1.779
 3.685,             3.646,      1.297,      3.053,     -1.139,      3.600,      0.285,      2.075,     -1.798
 3.547,             3.647,      1.288,      3.069,     -1.152,      3.607,      0.276,      2.095,     -1.816
 3.408,             3.647,      1.279,      3.085,     -1.164,      3.614,      0.267,      2.115,     -1.835
 3.270,             3.648,      1.270,      3.101,     -1.176,      3.621,      0.258,      2.136,     -1.853
 3.131,             3.648,      1.262,      3.118,     -1.188,      3.628,      0.249,      2.156,     -1.872
 2.993,             3.649,      1.253,      3.134,     -1.200,      3.635,      0.240,      2.177,     -1.890
 2.855,             3.649,      1.244,      3.150,     -1.212,      3.642,      0.231,      2.198,     -1.908
 2.716,             3.650,      1.236,      3.167,     -1.224,      3.649,      0.223,      2.219,     -1.926
 2.578,             3.650,      1.227,      3.183,     -1.236,      3.656,      0.214,      2.240,     -1.944
 2.439,             3.651,      1.218,      3.200,     -1.248,      3.663,      0.205,      2.261,     -1.962
 2.301,             3.651,      1.210,      3.216,     -1.260,      3.670,      0.197,      2.283,     -1.980
 2.163,             3.651,      1.201,      3.233,     -1.271,      3.677,      0.188,      2.304,     -1.997
 2.024,             3.652,      1.192,      3.250,     -1.282,      3.684,      0.180,      2.325,     -2.015
 1.886,             3.652,      1.183,      3.267,     -1.294,      3.691,      0.171,      2.347,     -2.033
 1.748,             3.652,      1.175,      3.283,     -1.305,      3.698,      0.163,      2.369,     -2.050
 1.609,             3.652,      1.166,      3.300,     -1.316,      3.705,      0.154,      2.391,     -2.067
 1.471,             3.653,      1.157,      3.317,     -1.327,      3.712,      0.146,      2.413,     -2.084
 1.332,             3.653,      1.149,      3.334,     -1.338,      3.719,      0.138,      2.434,     -2.101
 1.194,             3.653,      1.140,      3.351,     -1.349,      3.726,      0.130,      2.457,     -2.118
 1.056,             3.653,      1.131,      3.368,     -1.360,      3.733,      0.121,      2.479,     -2.135
 0.917,             3.653,      1.122,      3.385,     -1.370,      3.740,      0.113,      2.501,     -2.151
 0.779,             3.653,      1.114,      3.402,     -1.381,      3.747,      0.105,      2.523,     -2.168
 0.640,             3.654,      1.105,      3.419,     -1.391,      3.754,      0.097,      2.546,     -2.184
 0.502,             3.654,      1.096,      3.436,     -1.401,      3.761,      0.089,      2.568,     -2.200
 0.364,             3.654,      1.088,      3.453,     -1.411,      3.768,      0.081,      2.590,     -2.216
 0.225,             3.654,      1.079,      3.470,     -1.421,      3.775,      0.073,      2.613,     -2.232
 0.087,             3.654,      1.070,      3.487,     -1.431,      3.781,      0.065,      2.636,     -2.248
-0.052,             3.654,      1.061,      3.504,     -1.441,      3.788,      0.057,      2.658,     -2.263
-0.190,             3.654,      1.053,      3.521,     -1.451,      3.795,      0.050,      2.681,     -2.279
-0.328,             3.654,      1.044,      3.538,     -1.460,      3.802,      0.042,      2.704,     -2.294
-0.467,             3.654,      1.035,      3.555,     -1.470,      3.809,      0.034,      2.726,     -2.309
-0.605,             3.654,      1.026,      3.572,     -1.479,      3.815,      0.027,      2.749,     -2.324
-0.743,             3.653,      1.018,      3.589,     -1.488,      3.822,      0.019,      2.772,     -2.339
-0.882,             3.653,      1.009,      3.606,     -1.497,      3.829,      0.011,      2.795,     -2.354
-1.020,             3.653,      1.000,      3.623,     -1.506,      3.836,      0.004,      2.818,     -2.368
-1.159,             3.653,      0.992,      3.640,     -1.515,      3.842,     -0.003,      2.841,     -2.382
